Instruction	Stimuli	Slide_number	Mean	StDev
English	begins in English	Slide 1	58	12.81447
English	begins in Spanish	Slide 2	49	18.89026
English	begins in English	Slide 3	57	13.41641
English	begins in Spanish	Slide 4	54	17.29009
Spanish	begins in English	Slide 1	68	18.80649
Spanish	begins in Spanish	Slide 2	58	15.76138
Spanish	begins in English	Slide 3	55	12.77333
Spanish	begins in Spanish	Slide 4	51	15.18309
